Release Date,Reference Period,Actual (K),Forecast (K),Previous (K)
27-Jan-2021,Dec 2020,174,49,161
03-Mar-2021,Jan 2021,174,49,161
31-Mar-2021,Feb 2021,117,177,174
28-Apr-2021,Mar 2021,517,552,117
26-May-2021,Apr 2021,742,800,517
30-Jun-2021,May 2021,978,650,742
28-Jul-2021,Jun 2021,692,600,978
25-Aug-2021,Jul 2021,330,695,692
01-Sep-2021,Aug 2021,1247,695,330
29-Sep-2021,Sep 2021,568,428,1247
27-Oct-2021,Oct 2021,571,400,568
01-Dec-2021,Nov 2021,534,525,571
05-Jan-2022,Dec 2021,807,375,534
26-Jan-2022,Jan 2022,301,207,807
02-Mar-2022,Feb 2022,475,375,301
30-Mar-2022,Mar 2022,455,450,475
27-Apr-2022,Apr 2022,247,395,455
01-Jun-2022,May 2022,128,300,247
29-Jun-2022,Jun 2022,329,200,128
27-Jul-2022,Jul 2022,128,200,329
31-Aug-2022,Aug 2022,185,288,128
28-Sep-2022,Sep 2022,208,200,185
26-Oct-2022,Oct 2022,239,192,208
30-Nov-2022,Nov 2022,127,200,239
14-Dec-2022,Dec 2022,235,150,127
04-Jan-2023,Jan 2023,119,190,235
01-Feb-2023,Feb 2023,242,200,119
08-Mar-2023,Mar 2023,145,210,242
05-Apr-2023,Apr 2023,296,148,145
03-May-2023,May 2023,278,173,296
01-Jun-2023,Jun 2023,455,228,278
06-Jul-2023,Jul 2023,371,189,455
02-Aug-2023,Aug 2023,177,195,371
06-Sep-2023,Sep 2023,89,153,177
04-Oct-2023,Oct 2023,113,150,89
01-Nov-2023,Nov 2023,103,128,113
06-Dec-2023,Dec 2023,164,115,103
10-Jan-2024,Jan 2024,111,145,164
07-Feb-2024,Feb 2024,140,149,111
06-Mar-2024,Mar 2024,184,148,140
03-Apr-2024,Apr 2024,192,175,184
01-May-2024,May 2024,152,173,192
05-Jun-2024,Jun 2024,150,160,152
03-Jul-2024,Jul 2024,122,150,150
31-Jul-2024,Aug 2024,99,145,122
04-Sep-2024,Sep 2024,143,125,99
02-Oct-2024,Oct 2024,233,111,143
06-Nov-2024,Nov 2024,146,163,233
04-Dec-2024,Dec 2024,122,139,146
08-Jan-2025,Jan 2025,183,150,122
05-Feb-2025,Feb 2025,77,140,183
05-Mar-2025,Mar 2025,155,120,77
02-Apr-2025,Apr 2025,62,108,155
30-Apr-2025,May 2025,37,105,62
04-Jun-2025,Jun 2025,105,95,37
02-Jul-2025,Jul 2025,122,100,105
30-Jul-2025,Aug 2025,78,125,122
03-Sep-2025,Sep 2025,82,95,78
01-Oct-2025,Oct 2025,47,80,82
29-Oct-2025,Nov 2025,-32,10,47
03-Dec-2025,Dec 2025,41,47,-32
07-Jan-2026,Jan 2026,11,48,41
04-Feb-2026,Feb 2026,63,50,11
