Release Date,Reference Period,Actual (YoY %),Forecast (YoY %),Previous (YoY %)
29-Jan-2021,Dec 2020,1.5,1.5,1.4
26-Feb-2021,Jan 2021,1.5,1.5,1.5
26-Mar-2021,Feb 2021,1.4,1.5,1.5
30-Apr-2021,Mar 2021,1.8,1.8,1.4
28-May-2021,Apr 2021,3.1,2.9,1.8
25-Jun-2021,May 2021,3.4,3.4,3.1
30-Jul-2021,Jun 2021,3.5,3.7,3.4
27-Aug-2021,Jul 2021,3.6,3.6,3.5
01-Oct-2021,Aug 2021,3.6,3.6,3.6
29-Oct-2021,Sep 2021,3.7,3.7,3.6
24-Nov-2021,Oct 2021,4.1,4.1,3.7
23-Dec-2021,Nov 2021,4.7,4.5,4.1
28-Jan-2022,Dec 2021,4.9,4.8,4.7
25-Feb-2022,Jan 2022,5.2,5.1,4.9
31-Mar-2022,Feb 2022,5.4,5.5,5.2
29-Apr-2022,Mar 2022,5.2,5.3,5.4
27-May-2022,Apr 2022,4.9,4.9,5.2
30-Jun-2022,May 2022,4.7,4.8,4.9
29-Jul-2022,Jun 2022,4.8,4.7,4.7
26-Aug-2022,Jul 2022,4.6,4.7,4.8
30-Sep-2022,Aug 2022,4.9,4.7,4.6
28-Oct-2022,Sep 2022,5.1,5.2,4.9
03-Nov-2022,Oct 2022,5.0,5.0,5.1
01-Dec-2022,Nov 2022,4.7,4.6,5.0
23-Dec-2022,Nov 2022,4.7,4.6,5.0
27-Jan-2023,Dec 2022,4.4,4.4,4.7
24-Feb-2023,Jan 2023,4.7,4.3,4.4
31-Mar-2023,Feb 2023,4.6,4.7,4.7
28-Apr-2023,Mar 2023,4.6,4.5,4.6
26-May-2023,Apr 2023,4.7,4.6,4.6
30-Jun-2023,May 2023,4.6,4.7,4.7
28-Jul-2023,Jun 2023,4.1,4.2,4.6
31-Aug-2023,Jul 2023,4.2,4.2,4.1
29-Sep-2023,Aug 2023,3.9,3.9,4.2
27-Oct-2023,Sep 2023,3.7,3.7,3.9
30-Nov-2023,Oct 2023,3.5,3.5,3.7
22-Dec-2023,Nov 2023,3.2,3.3,3.5
26-Jan-2024,Dec 2023,2.9,3.0,3.2
29-Feb-2024,Jan 2024,2.8,2.8,2.9
29-Mar-2024,Feb 2024,2.8,2.8,2.8
26-Apr-2024,Mar 2024,2.8,2.7,2.8
31-May-2024,Apr 2024,2.8,2.8,2.8
28-Jun-2024,May 2024,2.6,2.6,2.8
26-Jul-2024,Jun 2024,2.6,2.5,2.6
30-Aug-2024,Jul 2024,2.6,2.7,2.6
27-Sep-2024,Aug 2024,2.7,2.6,2.6
31-Oct-2024,Sep 2024,2.7,2.6,2.7
27-Nov-2024,Oct 2024,2.8,2.8,2.7
20-Dec-2024,Nov 2024,2.8,2.9,2.8
31-Jan-2025,Dec 2024,2.8,2.8,2.8
28-Feb-2025,Jan 2025,2.6,2.6,2.8
28-Mar-2025,Feb 2025,2.8,2.7,2.6
30-Apr-2025,Mar 2025,2.6,2.7,2.8
30-May-2025,Apr 2025,2.5,2.6,2.6
27-Jun-2025,May 2025,2.6,2.6,2.5
25-Jul-2025,Jun 2025,2.7,2.7,2.6
29-Aug-2025,Jul 2025,2.7,2.7,2.7
26-Sep-2025,Aug 2025,2.7,2.8,2.7
31-Oct-2025,Sep 2025,2.8,2.9,2.7
NA,Oct 2025,2.8,2.8,2.8
19-Dec-2025,Nov 2025,2.8,2.8,2.8
30-Jan-2026,Dec 2025,3.0,2.8,2.8
27-Feb-2026,Jan 2026,2.6,2.7,3.0
