Release Date,Reference Period,Actual (QoQ %),Forecast (QoQ %),Previous (QoQ %)
30-Apr-2021,Q1 2021,0.9,0.7,0.7
30-Jul-2021,Q2 2021,0.7,0.9,0.9
29-Oct-2021,Q3 2021,1.3,1.0,0.7
28-Jan-2022,Q4 2021,1.0,1.2,1.3
29-Apr-2022,Q1 2022,1.4,1.1,1.0
29-Jul-2022,Q2 2022,1.3,1.2,1.4
28-Oct-2022,Q3 2022,1.2,1.2,1.3
31-Jan-2023,Q4 2022,1.0,1.1,1.2
28-Apr-2023,Q1 2023,1.2,1.0,1.0
28-Jul-2023,Q2 2023,1.0,1.1,1.2
31-Oct-2023,Q3 2023,1.1,1.0,1.0
31-Jan-2024,Q4 2023,0.9,1.0,1.1
30-Apr-2024,Q1 2024,1.2,1.0,0.9
31-Jul-2024,Q2 2024,0.9,1.0,1.2
31-Oct-2024,Q3 2024,0.8,0.9,0.9
31-Jan-2025,Q4 2024,0.9,0.9,0.8
30-Apr-2025,Q1 2025,0.9,0.9,0.9
31-Jul-2025,Q2 2025,0.9,0.8,0.9
31-Oct-2025,Q3 2025,0.8,0.9,0.9
30-Jan-2026,Q4 2025,0.7,0.8,0.8
