Release Date,Reference Period,Actual (M),Forecast (M),Previous (M)
09-Mar-2021,Jan 2021,7.099,6.9,6.752
09-Apr-2021,Feb 2021,7.367,7.2,7.099
11-May-2021,Mar 2021,8.123,7.5,7.367
08-Jun-2021,Apr 2021,9.286,8.2,8.123
06-Jul-2021,May 2021,9.209,9.3,9.286
10-Aug-2021,Jun 2021,10.073,9.3,9.209
08-Sep-2021,Jul 2021,10.934,10.0,10.073
12-Oct-2021,Aug 2021,10.439,10.9,10.934
12-Nov-2021,Sep 2021,10.602,10.3,10.439
07-Dec-2021,Oct 2021,11.033,10.5,10.602
11-Jan-2022,Nov 2021,10.562,11.1,11.033
01-Feb-2022,Dec 2021,10.925,10.4,10.562
08-Mar-2022,Jan 2022,11.263,10.9,10.925
29-Mar-2022,Feb 2022,11.312,11.1,11.263
03-May-2022,Mar 2022,11.855,11.2,11.312
31-May-2022,Apr 2022,11.400,11.6,11.855
28-Jun-2022,May 2022,11.254,11.0,11.400
06-Jul-2022,Jun 2022,10.698,11.0,11.254
02-Aug-2022,Jul 2022,11.240,10.4,10.698
30-Aug-2022,Aug 2022,10.053,11.1,11.240
04-Oct-2022,Sep 2022,10.717,9.8,10.053
01-Nov-2022,Oct 2022,10.334,10.4,10.717
02-Dec-2022,Nov 2022,10.458,10.0,10.334
03-Jan-2023,Dec 2022,10.458,10.3,10.458
31-Jan-2023,Jan 2023,10.563,10.4,10.458
07-Mar-2023,Feb 2023,9.931,10.5,10.563
04-Apr-2023,Mar 2023,9.590,9.8,9.931
02-May-2023,Apr 2023,10.103,9.4,9.590
06-Jun-2023,May 2023,9.824,9.9,10.103
06-Jul-2023,Jun 2023,9.582,9.6,9.824
01-Aug-2023,Jul 2023,8.827,9.5,9.582
29-Aug-2023,Aug 2023,9.610,8.8,8.827
03-Oct-2023,Sep 2023,9.553,9.3,9.610
31-Oct-2023,Oct 2023,8.733,9.4,9.553
05-Dec-2023,Nov 2023,8.790,8.8,8.733
02-Jan-2024,Dec 2023,9.026,8.7,8.790
06-Feb-2024,Jan 2024,8.863,8.9,9.026
08-Mar-2024,Feb 2024,8.756,8.8,8.863
02-Apr-2024,Mar 2024,8.488,8.7,8.756
30-Apr-2024,Apr 2024,8.059,8.4,8.488
04-Jun-2024,May 2024,8.140,7.9,8.059
02-Jul-2024,Jun 2024,8.184,8.0,8.140
06-Aug-2024,Jul 2024,7.673,8.1,8.184
03-Sep-2024,Aug 2024,7.861,7.6,7.673
01-Oct-2024,Sep 2024,7.658,7.9,7.861
05-Nov-2024,Oct 2024,7.670,7.5,7.658
03-Dec-2024,Nov 2024,8.098,7.7,7.670
07-Jan-2025,Dec 2024,7.740,7.9,8.098
04-Feb-2025,Jan 2025,7.762,7.6,7.740
04-Mar-2025,Feb 2025,7.568,7.7,7.762
01-Apr-2025,Mar 2025,7.192,7.5,7.568
29-Apr-2025,Apr 2025,7.395,7.1,7.192
03-Jun-2025,May 2025,7.759,7.3,7.395
01-Jul-2025,Jun 2025,7.443,7.7,7.759
05-Aug-2025,Jul 2025,7.673,7.3,7.443
02-Sep-2025,Aug 2025,7.227,7.6,7.673
30-Sep-2025,Sep 2025,7.658,7.2,7.227
NA,Oct 2025,7.670,7.2,7.658
02-Dec-2025,Nov 2025,7.146,7.6,7.670
06-Jan-2026,Dec 2025,6.542,7.2,7.146
