Release Date,Reference Period,Actual (K),Forecast (K),Previous (K)
07-Jan-2021,Nov 2020,245,460,-306
05-Feb-2021,Jan 2021,233,50,-306
05-Mar-2021,Feb 2021,379,182,233
02-Apr-2021,Mar 2021,916,647,379
07-May-2021,Apr 2021,278,978,916
04-Jun-2021,May 2021,559,664,278
02-Jul-2021,Jun 2021,850,720,559
06-Aug-2021,Jul 2021,1053,870,850
03-Sep-2021,Aug 2021,235,750,1053
08-Oct-2021,Sep 2021,194,500,235
05-Nov-2021,Oct 2021,531,450,194
03-Dec-2021,Nov 2021,249,550,531
07-Jan-2022,Dec 2021,199,422,249
04-Feb-2022,Jan 2022,467,150,199
04-Mar-2022,Feb 2022,678,400,467
01-Apr-2022,Mar 2022,431,490,678
06-May-2022,Apr 2022,428,391,431
03-Jun-2022,May 2022,390,328,428
08-Jul-2022,Jun 2022,372,268,390
05-Aug-2022,Jul 2022,528,250,372
02-Sep-2022,Aug 2022,315,300,528
07-Oct-2022,Sep 2022,263,255,315
04-Nov-2022,Oct 2022,261,200,263
02-Dec-2022,Nov 2022,263,200,261
06-Jan-2023,Dec 2022,223,200,263
03-Feb-2023,Jan 2023,517,185,223
10-Mar-2023,Feb 2023,311,225,517
07-Apr-2023,Mar 2023,236,239,311
05-May-2023,Apr 2023,253,180,236
02-Jun-2023,May 2023,339,195,253
07-Jul-2023,Jun 2023,209,225,339
04-Aug-2023,Jul 2023,187,200,209
01-Sep-2023,Aug 2023,227,170,187
06-Oct-2023,Sep 2023,336,170,227
03-Nov-2023,Oct 2023,150,180,336
08-Dec-2023,Nov 2023,199,180,150
05-Jan-2024,Dec 2023,216,173,199
02-Feb-2024,Jan 2024,353,185,216
08-Mar-2024,Feb 2024,275,200,353
05-Apr-2024,Mar 2024,310,212,275
03-May-2024,Apr 2024,175,243,310
07-Jun-2024,May 2024,272,185,175
05-Jul-2024,Jun 2024,206,190,272
02-Aug-2024,Jul 2024,114,175,206
06-Sep-2024,Aug 2024,142,160,114
04-Oct-2024,Sep 2024,254,147,142
01-Nov-2024,Oct 2024,12,113,254
06-Dec-2024,Nov 2024,227,200,12
10-Jan-2025,Dec 2024,256,160,227
07-Feb-2025,Jan 2025,307,170,256
07-Mar-2025,Feb 2025,151,160,307
04-Apr-2025,Mar 2025,228,140,151
02-May-2025,Apr 2025,177,138,228
06-Jun-2025,May 2025,139,130,177
03-Jul-2025,Jun 2025,147,110,139
01-Aug-2025,Jul 2025,73,110,147
05-Sep-2025,Aug 2025,-4,50,73
03-Oct-2025,Sep 2025,119,50,-4
07-Nov-2025,Oct 2025,89,113,119
05-Dec-2025,Nov 2025,227,160,89
09-Jan-2026,Dec 2025,50,160,227
06-Feb-2026,Jan 2026,130,66,48
06-Mar-2026,Feb 2026,-92,58,130
