Release Date,Reference Period,Actual (MoM %),Forecast (MoM %),Previous (MoM %)
15-Jan-2021,Dec 2020,-0.7,0.0,-1.1
17-Feb-2021,Jan 2021,5.3,1.1,-1.0
17-Mar-2021,Feb 2021,-3.0,0.5,5.3
15-Apr-2021,Mar 2021,9.8,5.9,-3.0
14-May-2021,Apr 2021,0.0,1.0,9.8
15-Jun-2021,May 2021,-1.3,0.7,0.0
16-Jul-2021,Jun 2021,0.6,0.4,-1.3
17-Aug-2021,Jul 2021,-1.1,0.3,0.6
16-Sep-2021,Aug 2021,0.7,-0.8,-1.1
15-Oct-2021,Sep 2021,0.7,0.2,0.7
16-Nov-2021,Oct 2021,1.7,1.5,0.7
16-Dec-2021,Nov 2021,0.3,0.8,1.7
14-Jan-2022,Dec 2021,-1.9,0.0,0.3
16-Feb-2022,Jan 2022,3.8,2.0,-1.9
16-Mar-2022,Feb 2022,0.3,0.4,3.8
01-Apr-2022,Mar 2022,0.7,0.6,0.3
13-May-2022,Apr 2022,0.9,1.0,0.7
15-Jun-2022,May 2022,0.9,0.2,0.9
15-Jul-2022,Jun 2022,-0.1,0.8,0.9
17-Aug-2022,Jul 2022,0.4,0.1,-0.1
15-Sep-2022,Aug 2022,0.3,0.0,0.4
14-Oct-2022,Sep 2022,0.0,0.2,0.3
16-Nov-2022,Oct 2022,1.3,1.0,0.0
15-Dec-2022,Nov 2022,-0.6,-0.2,1.3
18-Jan-2023,Dec 2022,-1.1,-0.8,-0.6
15-Feb-2023,Jan 2023,3.0,1.8,-1.1
15-Mar-2023,Feb 2023,-0.4,-0.4,3.0
14-Apr-2023,Mar 2023,0.7,0.4,-0.4
12-May-2023,Apr 2023,0.4,0.7,0.7
15-Jun-2023,May 2023,0.3,0.1,0.4
18-Jul-2023,Jun 2023,0.2,0.5,0.3
15-Aug-2023,Jul 2023,0.7,0.4,0.2
15-Sep-2023,Aug 2023,0.6,0.2,0.7
17-Oct-2023,Sep 2023,0.7,0.3,0.6
15-Nov-2023,Oct 2023,-0.1,0.3,0.7
15-Dec-2023,Nov 2023,0.3,0.1,-0.1
17-Jan-2024,Dec 2023,0.6,0.4,0.3
15-Feb-2024,Jan 2024,0.6,0.4,0.6
15-Mar-2024,Feb 2024,0.6,0.8,0.6
15-Apr-2024,Mar 2024,0.7,0.3,0.6
15-May-2024,Apr 2024,-0.2,0.4,0.7
14-Jun-2024,May 2024,0.1,0.2,-0.2
16-Jul-2024,Jun 2024,-0.1,0.3,0.1
15-Aug-2024,Jul 2024,1.0,0.3,-0.1
17-Sep-2024,Aug 2024,0.1,0.2,1.0
17-Oct-2024,Sep 2024,0.4,0.3,0.1
15-Nov-2024,Oct 2024,-0.5,0.3,0.4
17-Dec-2024,Nov 2024,0.7,0.5,-0.5
16-Jan-2025,Dec 2024,0.0,0.5,0.7
14-Feb-2025,Jan 2025,0.3,-0.1,0.0
17-Mar-2025,Feb 2025,-0.9,0.6,0.3
16-Apr-2025,Mar 2025,1.4,1.3,-0.9
15-May-2025,Apr 2025,0.1,0.3,1.4
17-Jun-2025,May 2025,0.4,0.3,0.1
16-Jul-2025,Jun 2025,0.0,0.2,0.4
15-Aug-2025,Jul 2025,0.3,0.3,0.0
12-Sep-2025,Aug 2025,0.1,0.2,0.3
NA,Sep 2025,0.5,0.3,0.1
17-Oct-2025,Oct 2025,-0.1,0.3,0.5
14-Nov-2025,Nov 2025,0.7,0.5,-0.1
17-Dec-2025,Dec 2025,0.0,0.4,0.7
16-Jan-2026,Dec 2025,-0.2,-0.3,0.0
